p,t,m,seed,num_bags,duplicate_bags,total_weight,total_value,fitness
0,141,47,11,27511,59,False,278.6000000000002,3524.0,1.603698799236899
1,99,9,26,75594,63,False,284.6000000000002,4076.0,1.872832454270004
2,108,42,2,77557,57,False,284.8000000000001,3494.0,1.6201226947966938
3,37,5,25,13763,56,False,279.0000000000001,3549.0,1.6095443833464262
4,97,14,28,5820,57,False,284.6000000000002,3619.0,1.6416313170987176
5,65,25,33,99435,55,False,282.7000000000001,3512.0,1.6159525679871325
6,168,32,23,31955,58,False,281.1000000000001,3476.0,1.6039419444132723
7,200,5,42,77023,62,False,284.79999999999995,4151.0,1.8868604346687614
8,53,12,3,45793,62,False,284.10000000000014,3922.0,1.6937148842254897
9,143,15,44,68981,59,False,283.8000000000002,3564.0,1.6290517338121429
10,124,43,35,97921,53,False,282.3000000000002,3220.0,1.5626656192720614
11,127,25,25,17008,62,False,284.6000000000002,3739.0,1.6629532787191867
12,127,32,12,14532,54,False,283.50000000000017,3499.0,1.6164497063554415
13,108,34,40,30840,58,False,280.5000000000001,3501.0,1.6062787565929755
14,80,38,30,68825,53,False,281.70000000000016,3141.0,1.5465233980473578
15,119,33,11,79291,59,False,282.70000000000033,3478.0,1.6099113455280003
16,113,39,49,53550,56,False,283.3000000000002,3194.0,1.5615546328507843
17,196,47,42,31066,57,False,284.70000000000016,3412.0,1.6052018104963908
18,77,36,43,89088,55,False,276.80000000000007,3159.0,1.5325287098342875
19,33,20,18,43799,57,False,284.40000000000015,3444.0,1.6098350353495685
20,95,36,26,34381,57,False,280.90000000000015,3365.0,1.5835173755283738
21,126,21,13,10937,57,False,281.70000000000016,3434.0,1.5985845210040033
22,97,43,45,57944,56,False,281.10000000000014,3479.0,1.6044749934537843
23,27,36,41,82544,55,False,283.90000000000015,3190.0,1.5629491639546633
24,25,27,40,6942,55,False,283.40000000000015,3611.0,1.635999326674897
25,168,42,9,99091,61,False,284.60000000000014,3927.0,1.6963576852579214
26,143,18,8,64862,58,False,284.8000000000002,3573.0,1.6341596528635027
27,115,8,26,20223,59,False,285.0,3742.0,1.6648898365316276
28,75,18,10,60810,59,False,284.8000000000001,3878.0,1.6883529719821948
29,117,32,14,45591,59,False,284.30000000000024,3456.0,1.6116163543186333
30,198,26,34,41233,57,False,284.0000000000002,3611.0,1.6381045898327917
31,96,3,49,53951,66,False,284.20000000000005,4231.0,1.8989698125911796
32,35,24,36,4604,57,False,282.20000000000016,3252.0,1.568000598511204
33,75,41,10,645,52,False,284.80000000000024,3488.0,1.6190565967156707
34,57,8,15,82913,61,False,284.0000000000002,3843.0,1.6793270489656986
35,174,42,31,91442,58,False,284.10000000000025,3711.0,1.6562237683761651
36,40,16,36,86299,55,False,280.40000000000015,3390.0,1.5862050649010593
37,148,34,32,20648,53,False,283.50000000000017,3186.0,1.560834923128718
38,51,45,27,35456,55,False,280.3000000000002,3392.0,1.5862095537350847
39,95,14,26,48377,59,False,284.7000000000002,3912.0,1.6940433172483456
40,194,46,29,13995,55,False,281.40000000000015,3553.0,1.618676168032021
41,170,15,23,88537,59,False,284.5000000000001,3730.0,1.661003254404669
42,96,24,4,78623,59,False,283.3000000000003,3417.0,1.6011779448621564
43,110,14,20,16561,59,False,283.90000000000015,3571.0,1.6306463920996528
44,31,49,46,19256,53,False,281.20000000000005,3092.0,1.5360625444207536
45,192,20,42,29988,61,False,284.2000000000001,4015.0,1.8605902816743356
46,51,36,23,14849,59,False,284.60000000000014,3424.0,1.6069831294654553
47,55,11,38,36736,60,False,283.3000000000002,3884.0,1.6841559121684817
48,194,6,7,15022,63,False,284.00000000000017,4176.0,1.8884954924625001
49,53,30,31,84012,54,False,283.3000000000002,3250.0,1.5715048816070034
50,43,21,37,27937,59,False,275.6000000000002,3494.0,1.587841993042308
51,70,6,3,69736,55,False,283.90000000000015,3712.0,1.655699697003704
52,199,29,16,24822,61,False,283.7000000000002,3490.0,1.6155523136198713
53,173,19,34,29244,59,False,284.40000000000015,3510.0,1.6215621142408265
54,26,13,6,89589,54,False,284.80000000000024,3444.0,1.6112385441214987
55,123,17,39,27819,57,False,284.50000000000017,3632.0,1.643590319081286
56,137,37,10,99811,57,False,277.5000000000002,3509.0,1.5971739049115334
57,110,32,2,18839,55,False,284.20000000000016,3205.0,1.5666670407361694
58,121,33,26,87290,55,False,280.8000000000002,3254.0,1.5634436838364576
59,158,46,24,28339,57,False,284.60000000000025,3479.0,1.6167556952081705
60,161,44,33,1088,58,False,283.70000000000016,3590.0,1.6333206149702622
61,64,3,28,67494,60,False,284.8000000000001,4190.0,1.8937900721954144
62,81,27,20,6082,56,False,283.7000000000003,3701.0,1.6530434294691965
63,95,48,6,44141,57,False,280.4000000000002,3787.0,1.6567452212621112
64,104,3,43,52973,63,False,284.7000000000001,4173.0,1.8904185837728655
65,111,29,42,35961,51,False,281.2000000000002,3072.0,1.532508884150676
66,142,33,1,44769,56,False,283.3000000000002,3253.0,1.572037930647515
67,167,46,4,16460,59,False,284.90000000000026,3853.0,1.68426177383758
68,26,7,21,71776,57,False,281.9000000000002,3443.0,1.6008854225115035
69,148,32,18,54852,57,False,277.4000000000002,3541.0,1.602508884150676
70,114,43,9,81141,60,False,284.0000000000002,3744.0,1.6617364306288116
71,48,34,44,1199,54,False,282.90000000000015,3092.0,1.5420274567014558
72,171,18,11,25197,49,False,283.5000000000002,3244.0,1.5711405379119447
73,184,37,39,94862,56,False,284.70000000000016,3511.0,1.6227924288332778
74,78,40,11,77320,58,False,284.10000000000014,3259.0,1.575911046272398
75,143,3,18,98351,65,False,284.7,4257.0,1.9053439569071933
76,129,7,11,81779,62,False,283.50000000000017,4035.0,1.8616878015935368
77,147,9,9,73483,58,False,284.6000000000002,3775.0,1.6693498672053275
78,31,46,44,67833,56,False,281.90000000000015,3090.0,1.5381633187446233
79,36,31,17,80949,60,False,283.5000000000002,3599.0,1.6342180077058326
80,142,28,14,71725,58,False,283.00000000000017,3395.0,1.5962162869861225
81,45,25,33,44487,58,False,273.40000000000015,3513.0,1.5834986720532682
82,30,27,4,37484,53,False,280.8000000000001,3056.0,1.5282624471626831
83,114,18,7,20216,58,False,284.3000000000002,3694.0,1.6539049115325635
84,109,46,42,88489,55,False,278.50000000000017,3181.0,1.5424026484120756
85,170,17,16,45067,58,False,282.3000000000002,3618.0,1.6333834586466174
86,154,24,30,5430,58,False,284.3000000000002,3657.0,1.6473306400329188
87,154,26,26,23454,60,False,284.3000000000002,3818.0,1.675937605207048
88,113,41,28,66258,55,False,284.2000000000002,3051.0,1.5393038566565675
89,38,44,48,13486,54,False,282.60000000000014,3013.0,1.5269378670556994
90,75,15,46,75809,61,False,283.1000000000002,3448.0,1.6059843638948124
91,64,25,49,7862,58,False,285.0,3451.0,1.61318407960199
92,103,44,13,39434,59,False,276.6000000000001,3418.0,1.5778468559458352
93,166,22,21,69169,58,False,284.40000000000015,3590.0,1.6357767553211393
94,83,9,37,78695,61,False,284.8000000000002,4040.0,1.8671376201698282
95,176,43,49,52707,58,False,278.40000000000015,3397.0,1.5804313021359375
96,112,40,31,84350,56,False,284.70000000000016,3435.0,1.6092885198069806
97,90,46,38,75689,55,False,279.00000000000017,3230.0,1.5528635020386794
98,161,5,30,45778,64,False,284.1,4247.0,1.9014618636142595
99,61,49,17,56820,57,False,282.9000000000002,3473.0,1.6097246848464453
