p,t,m,seed,num_bags,duplicate_bags,total_weight,total_value,fitness
0,100,2,1,88931,100,False,539.8999999999992,5628.0,1.5278755325060205
1,100,2,1,61012,98,False,524.3999999999999,5591.0,1.5369039893699208
2,100,2,1,79112,54,False,283.6000000000003,3073.0,1.5411076197957592
3,100,2,1,78397,53,False,280.60000000000025,3161.0,1.5462174091946292
4,100,2,1,48491,53,False,283.90000000000026,3344.0,1.5903123480342658
5,100,2,1,19948,56,False,283.8000000000001,3001.0,1.529016197209442
6,100,2,1,81407,55,False,274.20000000000016,3246.0,1.538864324991584
7,100,2,1,8825,53,False,279.2000000000003,3263.0,1.5594287958702737
8,100,2,1,94836,52,False,284.60000000000025,3049.0,1.5403519994014898
9,100,2,1,91532,99,False,530.0999999999996,5613.0,1.5349691633995923
10,100,2,1,39207,100,False,539.8999999999996,5628.0,1.52787553250602
11,100,2,1,39473,98,False,525.0999999999996,5583.0,1.5347580255806696
12,100,2,1,34367,54,False,278.10000000000025,3061.0,1.519677178019677
13,100,2,1,5177,94,False,499.1999999999997,5382.0,1.5272034402165002
14,100,2,1,55958,94,False,501.5999999999996,5438.0,1.534422045616076
15,100,2,1,37349,70,False,348.2999999999997,4059.0,1.5394754723980695
16,100,2,1,25519,56,False,278.1000000000003,3359.0,1.572626716043842
17,100,2,1,28197,51,False,279.90000000000026,3086.0,1.530435042830959
18,100,2,1,4657,97,False,520.7999999999998,5551.0,1.5335534310016739
19,100,2,1,54534,100,False,539.8999999999996,5628.0,1.52787553250602
