p,t,m,seed,num_bags,duplicate_bags,total_weight,total_value,fitness
0,100,2,1,38061,60,False,284.5000000000002,4150.0,1.885630120076311
1,100,2,1,29940,65,False,284.9000000000001,4176.0,1.8916533871993422
2,100,2,1,44558,64,False,284.7000000000002,4170.0,1.889885534732354
3,100,2,1,8801,59,False,284.5000000000001,4198.0,1.8941589047244984
4,100,2,1,92904,63,False,284.6000000000002,3988.0,1.85719634908166
5,100,2,1,20357,63,False,284.80000000000007,4077.0,1.8737118916694726
6,100,2,1,53731,62,False,284.60000000000014,4098.0,1.87674148056709
7,100,2,1,80740,63,False,284.49999999999994,4149.0,1.885452437062806
8,100,2,1,88443,62,False,283.70000000000005,4140.0,1.8810462723974117
9,100,2,1,83065,64,False,284.2,4179.0,1.8897302958889761
10,100,2,1,42860,61,False,283.6,4155.0,1.8833606404069876
11,100,2,1,77055,64,False,282.20000000000016,4165.0,1.880225189840273
12,100,2,1,47189,61,False,284.60000000000014,4157.0,1.8872247783638205
13,100,2,1,23715,59,False,284.30000000000007,4007.0,1.8595196947592867
14,100,2,1,72189,61,False,284.9000000000001,3855.0,1.6846171398645873
15,100,2,1,44904,65,False,284.3,4196.0,1.8931017843115252
16,100,2,1,36249,63,False,284.40000000000015,4146.0,1.8845685108293126
17,100,2,1,30244,63,False,284.30000000000007,4213.0,1.896122395541092
18,100,2,1,75828,64,False,284.60000000000014,4049.0,1.8680350129053984
19,100,2,1,72507,61,False,284.8000000000001,4097.0,1.877265551939551
