,seed,num bags,duplicate bags,total weight,total value,fitness
0,0,58,False,284.7000000000001,3697.0,1.6558414693450048
1,1,60,False,284.30000000000024,3468.0,1.61374855048068
2,2,60,False,284.8000000000002,3911.0,1.694216511427824
3,3,57,False,284.7000000000003,3473.0,1.6160404743201298
4,4,58,False,283.30000000000024,3853.0,1.6786477387498606
5,5,55,False,283.4000000000002,3358.0,1.5910455242584078
6,6,59,False,284.50000000000034,3549.0,1.628842628960462
7,7,64,False,283.6000000000002,4019.0,1.8591957505704566
8,8,56,False,284.70000000000033,3398.0,1.6027142483073367
9,9,58,False,284.9000000000001,3612.0,1.6414401675831374
10,10,59,False,285.19999999999976,3943.0,1.6999028599738244
11,11,58,False,284.70000000000016,3950.0,1.850795271761494
12,12,55,False,284.30000000000024,3345.0,1.5918935398196994
13,13,64,False,284.3000000000001,4012.0,1.8604081098268064
14,14,58,False,281.4000000000002,3285.0,1.5710571204129735
