,p,t,m,seed,num_bags,duplicate_bags,total_weight,total_value,fitness
0,100,2,1,35793,66,False,284.2000000000002,4206.0,1.8945277372535825
1,100,2,1,96722,62,False,284.80000000000024,3997.0,1.8594972505891603
2,100,2,1,98548,62,False,284.80000000000007,4099.0,1.8776209179665586
3,100,2,1,86351,63,False,283.8000000000002,4101.0,1.8744675120637422
4,100,2,1,62473,63,False,284.40000000000015,4247.0,1.9025144951932074
5,100,2,1,18514,64,False,284.5000000000001,4058.0,1.869283282833951
6,100,2,1,38646,64,False,284.20000000000016,4085.0,1.8730280926196095
7,100,2,1,68105,62,False,284.20000000000016,4076.0,1.8714289454980741
8,100,2,1,77824,60,False,284.9000000000001,3906.0,1.6936789735532867
9,100,2,1,99463,61,False,284.8000000000002,4106.0,1.8788646990610862
10,100,2,1,94336,60,False,284.90000000000026,4100.0,1.8781494781730455
11,100,2,1,22525,63,False,284.6000000000002,4120.0,1.8806505068641761
12,100,2,1,71167,62,False,285.0,4057.0,1.870859985785359
13,100,2,1,44941,62,False,284.40000000000015,3958.0,1.8511641042905778
14,100,2,1,44624,63,False,284.3,4144.0,1.883862267609322
15,100,2,1,11295,63,False,283.70000000000005,3941.0,1.8456873527101338
16,100,2,1,72870,61,False,285.0,4097.0,1.8779673063255153
17,100,2,1,83804,61,False,284.2000000000001,4117.0,1.8787139490517344
18,100,2,1,56735,61,False,284.3,4149.0,1.8847506826768414
19,100,2,1,59179,63,False,284.7000000000001,4099.0,1.8772700407735763
