p,t,m,seed,num_bags,duplicate_bags,total_weight,total_value,fitness
0,57,16,1,634,51,False,284.60000000000014,3062.0,1.5426618785770403
1,181,34,4,74,54,False,281.8000000000001,3207.0,1.5586013541315982
2,36,6,9,547,57,False,284.20000000000016,3557.0,1.6292114614895454
3,83,7,11,167,62,False,284.0000000000002,3947.0,1.8478060823701052
4,137,15,2,387,60,False,284.40000000000026,3730.0,1.6606523772116868
5,45,50,4,607,58,False,277.8000000000002,3641.0,1.6216806942729964
6,97,33,16,288,58,False,279.60000000000025,3661.0,1.6315501440167592
7,165,11,18,802,66,False,285.0,4078.0,1.874591329068941
8,116,16,12,649,59,False,283.8000000000002,3968.0,1.8508356712677223
9,127,20,8,588,61,False,283.20000000000016,3809.0,1.6704788089627058
10,123,43,16,202,57,False,283.1000000000001,3718.0,1.6539587775408675
11,200,39,16,576,56,False,282.2000000000002,3252.0,1.5680005985112042
12,102,2,4,774,63,False,282.90000000000003,4209.0,1.8904993827853216
13,117,32,16,16,61,False,283.7000000000002,3794.0,1.6695679497250597
14,77,26,2,468,57,False,277.40000000000015,3780.0,1.64497512437811
15,113,24,13,921,56,False,281.5000000000002,3362.0,1.585089589645757
16,29,5,14,165,60,False,283.40000000000015,3805.0,1.670469831294655
17,76,46,20,85,53,False,276.0000000000001,3283.0,1.5517543859649128
18,89,48,19,627,60,False,282.4000000000002,3521.0,1.6164990835297206
19,158,9,11,751,59,False,283.5000000000002,4017.0,1.8584895073504666
20,147,32,19,381,54,False,279.9000000000002,3323.0,1.5725459170313851
21,194,18,14,642,60,False,284.10000000000014,3732.0,1.6599551116597469
22,190,3,14,895,64,False,284.6,4210.0,1.8966419780795274
23,192,6,5,258,65,False,284.60000000000014,4261.0,1.9057038117682272
24,129,3,18,836,66,False,283.8,4263.0,1.9032521602513748
25,64,40,2,973,52,False,283.7000000000001,3019.0,1.5318636142595299
26,29,30,5,512,54,False,282.40000000000015,3213.0,1.5617727153705165
27,133,10,1,735,60,False,283.60000000000014,3926.0,1.692671230314593
28,90,35,20,169,60,False,283.50000000000017,3759.0,1.6626472898664577
29,126,15,7,942,55,False,284.0000000000003,3546.0,1.6265551939550378
30,46,39,6,91,54,False,278.7000000000002,3421.0,1.5857483260389789
31,184,41,15,910,63,False,283.5000000000002,3856.0,1.6798825421763373
32,99,32,7,659,62,False,284.4000000000003,3822.0,1.6769992144540466
33,182,27,5,639,55,False,283.40000000000015,3150.0,1.5540874574495946
34,179,25,11,487,63,False,283.6000000000002,3665.0,1.646295963790073
35,109,8,18,530,62,False,284.8000000000002,4048.0,1.8685590842778594
36,83,30,15,777,57,False,284.5000000000001,3693.0,1.6544289829050243
37,116,35,18,941,54,False,283.70000000000016,3392.0,1.5981393782964881
38,67,17,15,696,55,False,281.2000000000002,3272.0,1.568045486851458
39,43,31,17,592,55,False,281.4000000000002,3230.0,1.5612845546702585
40,158,49,10,563,56,False,281.8000000000002,3404.0,1.5936049077918684
41,182,8,12,492,62,False,285.0,4126.0,1.8831201137171285
42,103,32,1,864,53,False,284.10000000000025,3098.0,1.547304081098269
43,35,3,3,269,61,False,279.60000000000014,3682.0,1.635281487300341
44,109,11,17,374,62,False,283.60000000000014,4043.0,1.8634601428945503
45,165,11,18,802,66,False,285.0,4078.0,1.874591329068941
46,116,16,12,649,59,False,283.8000000000002,3968.0,1.8508356712677223
47,127,20,8,588,61,False,283.20000000000016,3809.0,1.6704788089627058
48,123,43,16,202,57,False,283.1000000000001,3718.0,1.6539587775408675
49,200,39,16,576,56,False,282.2000000000002,3252.0,1.5680005985112042
50,102,2,4,774,63,False,282.90000000000003,4209.0,1.8904993827853216
51,117,32,16,16,61,False,283.7000000000002,3794.0,1.6695679497250597
52,77,26,2,468,57,False,277.40000000000015,3780.0,1.64497512437811
53,113,24,13,921,56,False,281.5000000000002,3362.0,1.585089589645757
54,29,5,14,165,60,False,283.40000000000015,3805.0,1.670469831294655
55,76,46,20,85,53,False,276.0000000000001,3283.0,1.5517543859649128
56,89,48,19,627,60,False,282.4000000000002,3521.0,1.6164990835297206
57,158,9,11,751,59,False,283.5000000000002,4017.0,1.8584895073504666
58,147,32,19,381,54,False,279.9000000000002,3323.0,1.5725459170313851
59,194,18,14,642,60,False,284.10000000000014,3732.0,1.6599551116597469
60,190,3,14,895,64,False,284.6,4210.0,1.8966419780795274
61,192,6,5,258,65,False,284.60000000000014,4261.0,1.9057038117682272
62,129,3,18,836,66,False,283.8,4263.0,1.9032521602513748
63,64,40,2,973,52,False,283.7000000000001,3019.0,1.5318636142595299
64,29,30,5,512,54,False,282.40000000000015,3213.0,1.5617727153705165
65,133,10,1,735,60,False,283.60000000000014,3926.0,1.692671230314593
66,90,35,20,169,60,False,283.50000000000017,3759.0,1.6626472898664577
67,126,15,7,942,55,False,284.0000000000003,3546.0,1.6265551939550378
68,46,39,6,91,54,False,278.7000000000002,3421.0,1.5857483260389789
69,184,41,15,910,63,False,283.5000000000002,3856.0,1.6798825421763373
70,99,32,7,659,62,False,284.4000000000003,3822.0,1.6769992144540466
71,182,27,5,639,55,False,283.40000000000015,3150.0,1.5540874574495946
72,179,25,11,487,63,False,283.6000000000002,3665.0,1.646295963790073
73,109,8,18,530,62,False,284.8000000000002,4048.0,1.8685590842778594
74,83,30,15,777,57,False,284.5000000000001,3693.0,1.6544289829050243
75,116,35,18,941,54,False,283.70000000000016,3392.0,1.5981393782964881
76,67,17,15,696,55,False,281.2000000000002,3272.0,1.568045486851458
